"Referred.a.Friend" "Number.of.Referrals" "Tenure.in.Months" "Offer" "Phone.Service" "Avg.Monthly.Long.Distance.Charges" "Multiple.Lines" "Internet.Service" "Internet.Type" "Avg.Monthly.GB.Download" "Online.Security" "Online.Backup" "Device.Protection.Plan" "Premium.Tech.Support" "Streaming.TV" "Streaming.Movies" "Streaming.Music" "Unlimited.Data" "Contract" "Paperless.Billing" "Payment.Method" "Monthly.Charge" "Total.Regular.Charges" "Total.Refunds" "Total.Extra.Data.Charges" "Total.Long.Distance.Charges" "Gender" "Age" "Married" "Dependents" "Number.of.Dependents" "Latitude" "Longitude" "Population" "Churn.Value" "CLTV" "Total.Customer.Svc.Requests" "Product.Service.Issues.Reported" "Customer.Satisfaction"
"6154" "No" 0 6 "Offer E" "Yes" 32.34 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 20.65 109.3 0 0 194.04 "Male" 33 "No" "No" 0 36.141319 -119.129075 5689 0 3266 0 0 "-99"
"1253" "Yes" 1 12 "Offer D" "Yes" 19.48 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 19 233.55 0 0 233.76 "Female" 48 "Yes" "No" 0 33.830209 -117.906099 68802 0 3535 3 1 "s1"
"2058" "No" 0 15 "None" "Yes" 20.03 "No" "Yes" "DSL" 65 "Yes" "No" "No" "No" "Yes" "No" "Yes" "No" "Month-to-Month" "No" "Bank Withdrawal" 89.648 1270.2 0 826 300.45 "Female" 21 "No" "No" 0 40.170357 -123.417298 259 1 5829 4 0 "-99"
"4041" "No" 0 8 "Offer E" "Yes" 22.15 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 19.7 168.9 0 0 177.2 "Male" 28 "No" "No" 0 35.391733 -118.984109 35643 0 5498 1 0 "-99"
"3712" "No" 0 4 "Offer E" "Yes" 9.75 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "Yes" "Credit Card" 25.3 116.95 0 0 39 "Female" 24 "No" "No" 0 34.239636 -118.245259 29110 0 3808 1 0 "s3"
"2471" "No" 0 54 "None" "Yes" 41.83 "Yes" "Yes" "Fiber Optic" 10 "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 104.104 5440.9 0 0 2258.82 "Female" 38 "No" "No" 0 33.830431 -118.074071 14852 1 5763 2 3 "-99"
"3021" "No" 0 10 "None" "Yes" 13.16 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 20.25 202.5 0 0 131.6 "Male" 24 "No" "No" 0 36.869584 -118.189241 734 0 5504 0 0 "-99"
"2445" "No" 0 2 "Offer E" "Yes" 37.72 "No" "Yes" "Cable" 30 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 72.592 134.7 0 40 75.44 "Male" 56 "No" "No" 0 39.559709 -120.345639 227 0 2320 3 1 "-99"
"1379" "Yes" 1 17 "Offer D" "Yes" 44.97 "No" "Yes" "Fiber Optic" 12 "No" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 71.76 1149.65 0 0 764.49 "Male" 58 "Yes" "No" 0 37.671806 -121.007575 52872 0 3368 0 0 "-99"
"1417" "No" 0 4 "None" "Yes" 13.02 "No" "Yes" "Fiber Optic" 16 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 73.008 237.95 0 38 52.08 "Male" 43 "No" "No" 0 38.392821 -121.799917 18529 0 5094 3 1 "s1"
