"numsessions" "numdays" "numpurchases" "totpurchases" "totplaytime" "totscore" "numlives" "numelements" "difflevel" "skill1" "skill2" "country" "opsys" "acquis" "trendsession" "trendpurchase" "y"
"1" 3 5 1 2 202.168294742058 94.7837401876528 24 14 2 0.369257690162102 0.553045815253722 "6" 1 0 1.49125343216897 -0.0666453932286151 19.4882025536014
"2" 12 7 3 2 413.911718285667 104.587667783997 28 21 2 0.603683900701392 0.379317363101545 "2" 0 0 2.57044025300623 2.81615251240086 25.8419919493342
"3" 2 4 3 13.1101471388155 130.995567571722 98.1781860600684 21 18 2 0.438464125954921 0.445509382511952 "1" 1 0 1.5399110283097 1.37188597145305 33.7272024821247
"4" 6 6 3 21.7095138908001 207.446863089857 100.547096275176 37 20 2 0.489057598443763 0.519593380856585 "1" 1 0 2.50127003303055 0.612644855907294 24.3670948723614
"5" 6 7 4 7.21259587140928 214.583871952209 107.44725970728 33 23 2 0.534398370486694 0.675010365413905 "2" 1 0 0.92128937188742 0.797995912380169 34.5649270634841
"6" 5 6 2 2 162.76155193571 97.8302192342863 26 20 2 0.518172448439598 0.688993886564372 "6" 1 0 2.02787996296417 0.60379658409301 15.914656599214
"7" 7 5 2 21.1966197195342 218.881633394466 100.108062292991 24 23 2 0.545904943311597 0.529880566891037 "3" 1 0 2.94497581135697 2.23075871183894 21.3796319929315
"8" 13 7 6 7.04300789407022 504.217002017496 114.518111250658 39 33 3 0.932378386318665 0.493303487469734 "2" 0 1 5.34773837785083 3.24360018793561 55.1372229052466
"9" 4 3 1 4.19574345360376 150.838625490501 98.4203695857015 24 21 1 0.491319532506553 0.473652334543798 "6" 1 0 1.165972201361 1.29559647833391 22.6684327772671
"10" 5 7 2 10.8871648336763 162.493015692653 91.6220434134363 27 17 1 0.505508712285736 0.419432113524013 "2" 0 0 -0.738252452787164 1.42796715150692 28.0508127334415
"11" 7 5 2 15.5482713399938 237.295475075446 99.8954059074361 26 24 2 0.561890590354024 0.479008671237574 "6" 0 0 1.40202395449182 1.40435944161898 25.2343217843811
"12" 8 7 4 10.9715679040337 309.519118291691 101.99355443519 37 24 2 0.630160506533309 0.446738044325994 "5" 1 0 0.626355455404392 1.74931019906333 27.0586669953953
"13" 7 6 3 6.46072428822269 235.319965061177 102.020913991497 28 21 2 0.48706836013693 0.575760806897493 "4" 1 0 0.362320697172975 1.0747574804778 21.6187014855101
"14" 5 7 3 7.24502651942354 229.659083276202 97.6821981693627 28 20 1 0.481164134328436 0.648798291176781 "1" 0 1 1.73785181201804 0.0893712318780867 43.2657040241487
"15" 5 6 3 5.05680689085467 174.829344200359 102.784272644214 31 19 1 0.41068803893895 0.547091878119703 "5" 0 0 1.47478600905851 1.15558337393929 23.8590500191429
"16" 12 7 4 5.41383197904649 303.275230946276 105.918194410535 36 24 1 0.662340799737835 0.436479039691843 "4" 1 0 2.22983760306856 2.01362241002575 27.2027462861118
"17" 7 7 4 21.4564307578273 371.334031895645 108.137927155035 37 27 2 0.803303808434259 0.413327893864452 "3" 0 0 5.15161734462403 5.55129954604386 84.111629056716
"18" 7 6 4 7.76893447328175 298.400939441781 104.673113461506 27 20 1 0.565769785871132 0.614504070005268 "3" 1 0 2.91842445559299 0.678392888278815 27.8914267101687
"19" 4 5 3 10.1643243916908 105.256873227421 94.2971405935819 28 17 2 0.400830137272547 0.540387073997446 "2" 0 0 -0.62168807081111 -0.943306334946158 37.0379451144954
"20" 7 7 6 8.49211903548714 341.411212491571 103.621048432482 33 24 2 0.50770774924432 0.514032677694016 "4" 1 0 3.65025531301281 -0.883350800786039 35.8174207419394
"21" 5 3 1 3.78450596553104 67.087160830767 91.8701728237521 18 13 2 0.341478012712042 0.570529785735371 "6" 0 1 1.52677221264108 -0.902093133393778 18.8446180204956
"22" 9 6 3 14.3300272907629 275.957741805292 98.6211624269008 38 16 1 0.375721267054413 0.428011332795877 "5" 0 1 0.542218149031934 0.495313888005947 26.1656553812781
"23" 9 5 2 18.9935599309519 139.368968605476 99.281675408794 34 22 1 0.559136120330924 0.62311578904608 "3" 1 1 0.264460825447181 1.36742156988146 27.4651325967306
"24" 4 5 2 11.1233768846851 121.821783327371 96.5648636251411 26 17 2 0.486337007387738 0.638795203048682 "4" 0 0 1.17690526668689 0.813901804328616 20.4498368754922
"25" 3 5 5 7.02891531824216 192.314678766419 101.755261849692 29 23 2 0.614349563630176 0.588996857167171 "6" 0 0 1.60641053286534 -0.35632050846326 34.995257874295
"26" 11 7 2 20.3840401718757 398.900712647488 101.658716426856 37 20 1 0.444192049443337 0.455079936607604 "3" 1 1 2.38156689956096 1.64681600418928 28.1004606802656
"27" 3 5 1 2.892634004988 183.858766828654 91.5625191933053 21 20 3 0.55301339181047 0.411042793492337 "5" 0 1 -0.0535718164049109 -0.34937250632515 13.4732812489931
"28" 9 7 3 5.85285362766787 178.878650489842 95.4156441315099 28 19 3 0.494098412799174 0.661143712118778 "6" 1 0 0.405640071848323 0.248391395533023 25.8020630638984
"29" 6 7 3 12.1255533089423 369.142222658519 105.61294804708 38 19 2 0.463425402596141 0.537964541628551 "4" 0 0 3.1787964710091 1.02689998742803 33.8134405983085
"30" 7 7 1 2 361.308760766613 99.0908771605406 28 21 2 0.46467034188413 0.450923619971331 "3" 1 0 2.51435547009443 0.64726028377307 15.1730268986078
"31" 5 7 5 7.4898316905355 369.043819266259 106.910249142918 33 25 2 0.753107067180033 0.473769541503826 "2" 1 0 3.27071811508852 1.2790464857944 31.6628219852083
"32" 2 3 2 3.69744414419774 91.7422261237132 102.476813440011 28 21 3 0.610946662759302 0.604473172024082 "6" 1 0 1.02125614224187 1.31605138996246 18.6726127394496
"33" 6 6 1 9.14926067069684 198.200666576059 101.430855175074 21 18 1 0.450121295481709 0.484476212924569 "1" 1 0 1.77607311239625 1.57436248382541 50.2520504380931
"34" 10 7 2 2.31301832006879 314.452274050559 98.8372232683831 35 20 2 0.545125374698541 0.413428737145188 "1" 0 0 4.31865367554127 -0.263184746386462 27.259602840997
"35" 7 7 2 2.90585189556727 254.375529620698 96.8389634143628 38 19 1 0.488722716001099 0.583809823765458 "2" 1 0 0.331170358464375 0.303680182451307 22.7844863771927
"36" 3 5 2 2.65094558677134 134.562483087903 97.0469514870034 23 18 2 0.407786629033492 0.688660078572474 "6" 0 1 1.53626557649667 1.03496283123455 19.9492486678499
"37" 11 7 1 3.45333053475715 344.248500753293 94.6470648261379 33 16 3 0.465386676764611 0.480686024005558 "1" 1 1 2.86061247447504 0.167415326438224 19.8670718571241
"38" 6 7 4 15.2645871211941 293.461332466448 106.240692206232 29 27 2 0.595814682360146 0.345721684488206 "5" 0 1 2.56919459364413 4.02431113223152 40.7735565382181
